dir,object,section,size_hex,size_dec
ex5,task.o,.ARM.attributes,0x00000033,51
ex5,taskhook.o,.text,0x00000000,0
ex5,taskhook.o,.data,0x00000000,0
ex5,taskhook.o,.bss,0x0000000c,12
ex5,taskhook.o,.debug_info,0x0000087d,2173
ex5,taskhook.o,.debug_abbrev,0x0000017b,379
ex5,taskhook.o,.debug_aranges,0x00000018,24
ex5,taskhook.o,.debug_line,0x0000011c,284
ex5,taskhook.o,.debug_str,0x000006ff,1791
ex5,taskhook.o,.comment,0x00000034,52
ex5,taskhook.o,.ARM.attributes,0x00000039,57
ex5,wait.o,.text,0x00000650,1616
ex5,wait.o,.data,0x00000000,0
ex5,wait.o,.bss,0x00000000,0
ex5,wait.o,.rodata.str1.4,0x0000009f,159
ex5,wait.o,.debug_info,0x00001bd2,7122
ex5,wait.o,.debug_abbrev,0x000003c0,960
ex5,wait.o,.debug_loc,0x00001210,4624
ex5,wait.o,.debug_aranges,0x00000020,32
ex5,wait.o,.debug_ranges,0x000001e8,488
ex5,wait.o,.debug_line,0x00000d32,3378
ex5,wait.o,.debug_str,0x000009ea,2538
ex5,wait.o,.comment,0x00000034,52
ex5,wait.o,.debug_frame,0x0000012c,300
ex5,wait.o,.ARM.attributes,0x00000033,51
ex5,time_event.o,.text,0x00000af4,2804
ex5,time_event.o,.data,0x00000000,0
ex5,time_event.o,.bss,0x0000001c,28
ex5,time_event.o,.rodata.str1.4,0x00000076,118
ex5,time_event.o,.debug_info,0x00002864,10340
ex5,time_event.o,.debug_abbrev,0x0000058f,1423
ex5,time_event.o,.debug_loc,0x000018da,6362
ex5,time_event.o,.debug_aranges,0x00000020,32
ex5,time_event.o,.debug_ranges,0x00000740,1856
ex5,time_event.o,.debug_line,0x000014e4,5348
ex5,time_event.o,.debug_str,0x00000c5e,3166
ex5,time_event.o,.comment,0x00000034,52
ex5,time_event.o,.debug_frame,0x000001b0,432
ex5,time_event.o,.ARM.attributes,0x00000033,51
ex5,task_manage.o,.text,0x00000bf8,3064
ex5,task_manage.o,.data,0x00000000,0
ex5,task_manage.o,.bss,0x00000000,0
ex5,task_manage.o,.debug_info,0x0000316d,12653
ex5,task_manage.o,.debug_abbrev,0x0000045a,1114
ex5,task_manage.o,.debug_loc,0x00001b7d,7037
ex5,task_manage.o,.debug_aranges,0x00000020,32
ex5,task_manage.o,.debug_ranges,0x00000510,1296
ex5,task_manage.o,.debug_line,0x00001bf5,7157
ex5,task_manage.o,.debug_str,0x00000a66,2662
ex5,task_manage.o,.comment,0x00000034,52
ex5,task_manage.o,.debug_frame,0x000000fc,252
ex5,task_manage.o,.ARM.attributes,0x00000033,51
ex5,task_refer.o,.text,0x00000410,1040
ex5,task_refer.o,.data,0x00000000,0
ex5,task_refer.o,.bss,0x00000000,0
ex5,task_refer.o,.debug_info,0x00001429,5161
ex5,task_refer.o,.debug_abbrev,0x00000382,898
ex5,task_refer.o,.debug_loc,0x00000356,854
ex5,task_refer.o,.debug_aranges,0x00000020,32
ex5,task_refer.o,.debug_ranges,0x00000098,152
ex5,task_refer.o,.debug_line,0x000005e5,1509
